stdid,A_PLURAL,MORFOLOGIK_RULE_EN_GB,SENTENCE_FRAGMENT,UPPERCASE_SENTENCE_START,text,ENGLISH_WORD_REPEAT_BEGINNING_RULE,EN_COMPOUNDS,IN_PAST,I_LOWERCASE,HE_VERB_AGR,THERE_S_MANY,IT_IS,SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,COMMA_PARENTHESIS_WHITESPACE,EN_A_VS_AN,SENTENCE_WHITESPACE,WONT,BEEN_PART_AGREEMENT,WOMAN_WOMEN,DOUBLE_PUNCTUATION,EN_CONTRACTION_SPELLING,MY_BE,ADVERB_WORD_ORDER,AM_I,ADMIT_ENJOY_VB,ADVISE_VBG,IN_A_X_MANNER,THE_SENT_END,CANT,ENGLISH_WORD_REPEAT_RULE,KIND_OF_A,MASTERS,TOO_DETERMINER,EN_QUOTES,EN_UNPAIRED_BRACKETS,EN_GB_SIMPLE_REPLACE,NEW_XX,PROGRESSIVE_VERBS,PRP_RB_NO_VB,ANY_BODY,MAY_BE,ACCORDING_TO_ME,AFFORD_VBG,MISSING_HYPHEN,TO_TOO,DT_PRP,EVERYDAY_EVERY_DAY,MISSING_COMMA_AFTER_INTRODUCTORY_PHRASE,PEOPLE_VBZ,LOOSE_LOSE,EVERY_EACH_SINGULAR,RATHER_THEN,COMPARISONS_THEN,SO_AS_TO,TRY_AND,NON3PRS_VERB,THE_SUPERLATIVE,POSSESSIVE_APOSTROPHE,IT_VBZ,WHERE_AS,WHITESPACE_RULE,AFFECT_EFFECT,I_MOVING,THEIR_IS,SOME_OF_THE,A_UNCOUNTABLE,COMP_THAN,DID_BASEFORM,LITTLE_BIT,CD_NN,HAVE_PART_AGREEMENT,APOSTROPHE_PLURAL,scount,wcount
F010,0.0,0.0,0.0,0.0,"Simple human being. Share the work equally. I underestimated a women
assuming her to be a civilian later turned out a lieutenant commander.
Clearing the naval interview was the biggest challenge. I am bit lazy
sometimes. How to cook tasty food",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,46
F011,0.0,0.0,0.0,0.0,"I am a student of electrical and computer engineering at Texas A&M. My
native is bangalore, India. My interests are in machine Ieaming, Statistical
estimation etc. And i ﬁnd this job particularly matching my interests. I would
focus on innovation and preach the team that the project we are doing is for
a very good cause. Further I would give incentives to perform better like
nominating them for different awards within the company. I do not have a
particular instance. But many times the principle innocent until proven guilty""
principle which i follow hasnt been true."". During my ﬁrst job, I was not very
good at programming. So in order to not appear unskilled"" before the people i
spent extra efforts to Ieam the same.  I am very good working alone but
sometimes not so good working in teams. But I am trying to pick that up. My
2 yr work experience has taught me a lot. I can Ieam any programming
language since now I am very comfortable with the basics thanks to the
experience. Also I am eager to Ieam machine learning models for high
dimensional sparse data. Furtheri am interested in learning about the usage
of GPUs for ML",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,226
F012,0.0,2.0,0.0,0.0,"PhD student in aerospace engineering and aspinng professor. Rewards for
good performance. I trusted a teammate assuming he had integrity, however
he took credit for work he didn't do. Preparing for aerospace PhD qualifying
exam. I am too pedantic. Learn to be better at math",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,52
F013,0.0,7.0,1.0,0.0,"My name is tushar menon. I have been working in xyz domain. *brief
introduction about my background*. Encourage collaboration and make them
realize that the team doing well holds a lot of beneﬁt for them as well.
Reward good pen‘ormances..be a good listener. During a tendering process,
where i felt this colleague was being too much of a stickler for details. He was
providing too much detail to the customer. But it was this detai|—oriented
approach which one us the order. Liaising with people who have little to no
knowledge about my domain. If you have someone more qualiﬁed.
Leadership, mentorship",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,113
F014,0.0,2.0,1.0,5.0,"a jovial vivacious fun loving person..love to work with solar pane|s!. I hate
group wor1<s!! still, I'll bribe my team with dinner coupons at exotic
restaurants after the success of every project. not prejudgemental at all. low
self conﬁdence phase after graduation. if you don't want smart people who
can be hard working as well to achieve their goals. working in teams",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,75
F015,0.0,0.0,0.0,0.0,"Fun loving, family guy. Lead by example would be the best approach. When i
thought the girl is going to turn right with her left indicator :p. Writing this in
middle of a meeting. Cause i may take your position soon. Carpentry",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,48
F016,0.0,5.0,0.0,1.0,"My resume would have given a fair idea about my professional background.
On the personal side, I love listening to Indian classical music, am an
occasional singer and follow cricket closely. My acquaintance in your
esteemed company told me about this recreational club . Over and above
learning the ropes in my daily work life , I would love to be part of this
recreational committee. Most teams that I have been in, involved showing the
bigger picture and then delegating work among the people to reach this end.
I feel every member is motivated when he/she is well apprised of the
individual beneﬁts involved. I would try my best to delegate duties in line
with the career aspirations of my team members. I have been a ﬁrm believer
of sound class room training before you undertake a project. In my ﬁrst job as
a commissioning engineer, I was shipped off to site in my third month. I felt
my managerjust doesnt want to invest in my training and thus complained
to my HR. But little did I know that my manager had planned a detailed
session for me once i returned. He felt that unless i have an appreciation of
the product and the system, i will only be conﬁned to academic knowledge,
which is true. The training was extremely useful and i could relate far better
with my domain thereafter. when faced with a technical issue, I often go back
to my fundamentals in engineering and that helps me immensely. Similarly I
feel at ease in explaining the details about my products to people who have
some appreciation for the domain in which I am working. But often I am faced
with people who have little to no knowledge about the product but sadly are
the decision makers. Making things palatable to them is a big challenge. The
role requires considerable client interaction. That‘s an area I am working on. I
feel I am too direct at times with customer. An ideal person for this role would
be very crafty in speech and presentation. I wish to learn those skills from my
esteemed peers in this company. I would love to undertake some mentor-ship
roles in the long run",1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,399
F017,0.0,4.0,0.0,1.0,"This is Megha, completed my BE in CSE in JVIT. I am a positive thinker, goal
oriented. Work and then rest. Once i misjudged my mom because of her over
caringness. But later got to know it is what true love is. Now by ﬁnding a

suitable job that suits my skill set. No comments. I want you to hire me.
Jquery, struts, hibernate, J2EE",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,78
F018,0.0,4.0,0.0,1.0,"I am Kaptan Singh.i have done B.Tech in CSE. By giving bonus and incresing
salary based on the performance. To understimate the strength of a person.
To motivate himself for study in bad ﬁncial condtion. If you hire me then i will
try to give my best for achieving organisational goal. work with creativity",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,59
F019,0.0,1.0,0.0,2.0,"G E T in Synte|,Pune. leading from front. nan. Job Satisfaction. No Reason.
Selenium Testing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,22
F020,0.0,4.0,1.0,0.0,"I am MCA 2016 batch passout job seeker looking for opportunities in IT
Industry. Encourage. When i am in Stress. I have faced so many challenges
but the toughest one is not getting a job but still smiling and doing more hard
work to improve me day by day. Sir, being a fresher I don't have enough
industrial knowledge, but once I get the opportunity I'll put my 100 percent
effort to prove myself and be an asset to your company. Since I am a quick
leamer and possess appropriate skills for the job I'll fulﬁll all the needs of the
organisation. Big data, Hadoop",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,117
F021,0.0,2.0,0.0,0.0,"Teamplayer. Gifts. I didn't think in his point of view. Proving myself. I'm not
matured. Bigdata",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,23
F022,0.0,13.0,1.0,1.0,"Am Anusha, my home town is Harihar(T), Davanagere deistic. I pursued my
BE in Computer science in GMIT college, and I also completed my diploma in
Computer science in Govt polytechnic harihar and I completed my 10th in
MKTLK high schoil harihar. I always ask their opinion, and I always be friendly
with them. Some time for motivation need some creativity like conducting
game's and give best teams like that. We can motivate team members. when
am studying my diploma I become very close to one girl, she always used to
share her all feelings one day the other girl cane and told don't to be close to
her, I misjudged this girl and I also scolded afterl came to know that this girl
is right. ljudge her wrong way and all. When am in childhood 2 times I got an
accident that is the biggest challenge in my life. If your not eligible for your
proﬁle then you can. It will be the grade mark to you, ifi learn something
mean it is the beniﬁte to your company only, by this you can builde many
new ideas and thier will not any issue for giving training",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,219
F023,0.0,6.0,0.0,0.0,"I'm a Database Administrator with two years of experience managing all the
aspects of rdbms including oracle and mssql. Promote creativity and team
spirit.Provide challenging tasks and appreciate their work. Deepika padukone
on her acting skills, she's one hell of an actress now. Managing an activity at
ofﬁce which was done in production , for the very ﬁrst time, Independently.
You shouldnt hire me if you only want a person who would work 9-5 and never
put in extra effort. I thrive in tasks that need n appreciate hard work. To drive

a car, to play guitar",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,108
F024,0.0,3.0,0.0,0.0,"Self made artist, entrepreneur and software analyst. Hailing their previous
achievements, to help them visualise the big picture, by creating competition
amongst peer to recieve great rewards,. When a team member took off on an
emergency leave when there was hectic schedule of delivery, i judged the
person as he tried to escape the work with a reason. I realised it as a mistake
when the person came back to work to fulﬁl his responsibility even he was ill.
Professional challege faced so far, was to convince a client board consisted of
8 people on a requirement where in all of them had different opinion. But my
job as functional subject matter expert was to convince the board to come to
terms of an application unit and deliver the content within timeline. As i tend
to seek perfection at what i do, i m not suitable for this position where the
variance from the perfection is accepted for delivery. Marketing strategist",0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,174
